# time stamp,yA,yB,yC,yD,yE,defect1,defect2,defect3,defect4,defect5,defect6,defect7,defect8,defect9,defect10
0.000000,8.265516,173.031475,3.494434,145.127668,26.684503,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200401,6.365962,172.696304,57.694422,144.560031,27.214678,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400802,9.024643,180.463302,86.000340,144.346309,27.131340,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.601202,1.006708,175.845021,104.972079,143.955512,26.016882,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.801603,9.918431,177.922399,112.461256,146.626693,25.906902,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.002004,9.934892,176.064226,123.808392,137.361504,27.353051,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.202405,3.212409,175.678547,128.787086,137.856443,23.614829,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.402806,1.248171,176.066691,134.768206,132.535695,22.941772,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.603206,9.872989,182.686856,146.225134,135.236426,24.010428,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.803607,3.683841,174.383679,150.199945,138.972048,29.358014,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.004008,2.874092,177.718517,158.273336,128.943274,29.881998,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.204409,5.185693,179.274207,155.929806,135.898176,24.078820,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.404810,6.204824,178.085088,164.195860,128.644131,22.845468,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.605210,4.442017,177.112837,164.795975,131.145740,21.454407,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.805611,8.784564,183.886096,170.798401,128.060046,21.693391,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.006012,0.873988,183.185742,176.367435,125.966516,27.654179,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.206413,9.794677,183.207962,180.695180,129.741555,20.653858,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.406814,6.721293,179.254462,179.550931,123.575100,21.442071,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.607214,2.597157,178.082154,186.923877,121.996326,27.533236,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.807615,6.363395,184.796910,186.614695,127.931292,27.122498,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.008016,3.277393,180.618115,191.257912,117.598276,29.138520,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.208417,0.334731,183.695072,187.815265,118.260992,21.224167,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.408818,9.573655,183.586829,193.931982,122.025571,23.749449,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.609218,6.575214,182.186433,190.549820,117.698025,27.097715,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.809619,3.175715,180.699532,194.075294,121.752028,29.935438,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.010020,6.746448,184.579400,199.160017,113.851412,28.130890,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.210421,7.657616,186.311982,202.350407,113.744236,23.009611,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.410822,9.229432,181.485901,196.821940,112.135484,23.002872,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.611222,7.695104,183.025974,199.901740,113.845187,28.907718,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.811623,5.515970,179.832906,201.250050,118.267149,29.850843,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.012024,2.974405,180.866129,206.103839,116.582995,23.980190,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.212425,2.590719,183.195830,208.585715,114.477054,21.618185,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.412826,9.461848,188.339605,212.349023,111.762788,25.904031,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.613226,6.119649,188.285197,205.985103,109.693353,24.161860,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.813627,7.221177,181.017580,210.590991,106.879191,26.495608,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.014028,8.402101,186.837232,212.910377,106.900460,27.448088,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.214429,5.219367,188.867534,210.843923,111.607140,23.646594,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.414830,2.881228,187.907261,215.199553,108.195869,20.340664,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.615230,2.100580,186.430268,218.133317,103.862503,21.538552,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.815631,10.089532,185.385085,215.745508,110.163502,20.634245,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.016032,1.274184,186.168860,220.487968,107.227709,22.016614,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.216433,6.655127,183.683624,218.079996,104.390359,29.490344,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.416834,9.367281,186.671984,225.832071,106.532805,23.361845,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.617234,1.254321,185.032161,226.920519,108.327752,28.492287,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.817635,6.621269,189.073183,227.873454,102.146400,22.920078,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.018036,1.478748,184.854454,219.440738,103.087359,21.053918,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.218437,10.321430,180.810523,221.302808,98.289587,21.759769,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.418838,8.106029,186.006421,225.013394,105.228546,23.382598,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.619238,11.048621,181.641695,230.147930,97.380295,28.364602,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.819639,5.618662,188.548531,223.071174,100.612023,23.751700,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.020040,11.351004,183.058564,230.152165,97.260698,27.719575,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.220441,7.961896,185.368483,225.669932,103.189039,21.050304,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.420842,9.832179,188.476540,231.229892,101.265495,21.063683,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.621242,7.063294,181.992662,229.337298,100.944739,27.954722,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.821643,8.946328,182.329889,233.645894,96.459788,21.221018,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.022044,15.441678,180.617643,232.195413,99.438919,29.496073,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.222445,13.154019,182.948250,231.170680,102.553730,26.262624,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.422846,17.320169,178.609686,236.208628,99.991691,22.295435,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.623246,10.708959,177.729728,232.526380,97.014866,27.951501,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.823647,20.494426,183.225235,236.347928,98.023369,22.615659,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.024048,20.409386,180.567079,236.577300,95.816506,24.342441,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.224449,24.431631,183.984240,241.084654,92.843969,20.554781,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.424850,27.435801,185.540477,235.920646,94.127426,27.680742,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.625251,24.159220,176.613206,233.876859,90.446444,20.238965,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.825651,30.253161,182.212822,239.010663,90.719955,20.083208,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.026052,37.367187,183.717723,244.386770,94.141708,23.470271,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.226453,34.741036,179.296391,242.620208,89.182610,21.015435,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.426854,45.978849,175.743383,236.481264,97.750189,28.828468,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
